"","req","item_req","texto_req","grupo_mercadoria","nm","valor_estimado","oportunidade","item_oportunidade"
"2393","0030788299",10,"Conv.freq. 3F 0 -590Hz 480V 414A","39121007","000000000012610485",69704.67,"7003465353",2
"2394","0030922429",10,"Conv.freq. 3F 0 -590Hz 480V 89,2A","39121007","000000000012610417",32113.98,"7003465353",3
"2395","0031013793",10,"Rede de proteção anti-queda p/luminária","39111800A","000000000011757797",308.96,"7003556019",3
"2396","0030241661",10,"Válv. solenóide RO 1/4""NPT-M 2vias","40141605","000000000011854446",303.83,NA,0
"2397","0030790883",10,"Botoeira 2botões 690V Exe","39121561","000000000010207755",1430.9,"7003475622",4
"2398","0030797492",10,"Botoeira 2botões 690V Exe","39121561","000000000010207755",1430.9,"7003475622",5
"2399","0030282352",10,"Junta de exp. retangular 2316x3516x350mm","40142312","000000000011811931",55247.22,"7003479343",1
"2400","0028371591",10,"Posicionador eletropneum. 3a130mm","40141600E","000000000011291782",5920.98,"7003475417",2
"2401","0030285291",10,"Posicionador intelig. 0a1""","40141600E","000000000011338099",13146.75,"7003475417",6
"2402","0031112921",10,"Motor el. 3F 6p 45kW 440V","26101114","000000000011762665",131968.8,NA,0
"2403","0030199112",10,"Transm.vazão eletromag. 198 a 1325 m3/h","41112516","000000000012576449",1e+05,"7003582713",9
"2404","0030297971",10,"Transm.nível radar 0a10000mm","41111938","000000000010945697",10630.15,NA,0
"2405","0031129884",10,"Válv.esf. F/S 14"" 300# FR A105/A216WCB","40141607","000000000010006609",0.01,"7003754775",3
"2406","0028355235",10,"Vv.controle globo NPS 4 Cv150","40141609","000000000011512071",267555.7,"7003582104",3
"2407","0030792772",10,"Válvula seg. 6x 10"" FR A995-4A","40141606","000000000012299558",70000,"7003582106",6
"2408","0030885119",10,"Válvula seg/alív. 1x 1"" CR NPT AI AISI 3","40141606","000000000012063413",4761.49,"7003582106",7
"2409","0030452535",10,"Motor 3F uso det Motor uso det 75kW 440V","26101100B","000000000010786802",22759,"7003582111",1
"2410","0026291737",10,"Válvula hidráulica Vazão","40141608","000000000011500441",22787.03,NA,0
"2411","0029876062",10,"Painel elét BT CA 3F 480V IP65 Exde","39121112","000000000012484910",49878.35,"7003791791",1
"2412","0031148519",10,"Válv. solenóide manifold 4vias","40141605","000000000012034007",49955.8,"7003582473",3
"2413","0029871208",10,"Vv.controle borb. NPS 14 Cv7600","40141609","000000000012224426",235424.46,NA,0
"2414","0031215048",10,"Vv.controle gaveta NPS 4","40141609","000000000011165197",1171584.03,"7003582116",6
"2415","4002857216",10,"Med.volum. ultrasôn. 0a600m3/h","41112512","000000000011947786",118985.77,NA,0
"2416","4002857216",20,"Med.volum. ultrasôn. 0a600m3/h","41112512","000000000011947786",118985.77,NA,0
"2417","4002857216",30,"Med.volum. ultrasôn. 0a600m3/h","41112512","000000000011947786",121831.28,NA,0
"2418","4002857216",40,"Med.volum. ultrasôn. 0a600m3/h","41112512","000000000011947786",142016.11,"7003408181",1
"2419","4002857216",50,"Med.volum. ultrasôn. 0a600m3/h","41112512","000000000011947786",195971.4,"7003709119",2
"2420","0028842489",10,"Atuador pneum. linear giro 0-90º","31251504","000000000010816639",21663.26,NA,0
